0 verbose cli /home/hashtech/user_profile/.local/node-v20.20.2-linux-x64/bin/node /home/hashtech/user_profile/.local/node-v20.20.2-linux-x64/bin/npm
1 info using npm@10.8.2
2 info using node@v20.20.2
3 silly config load:file:/home/hashtech/user_profile/.local/node-v20.20.2-linux-x64/lib/node_modules/npm/npmrc
4 silly config load:file:/home/hashtech/user_profile/backend/.npmrc
5 silly config load:file:/home/hashtech/.npmrc
6 silly config load:file:/home/hashtech/user_profile/.local/node-v20.20.2-linux-x64/etc/npmrc
7 verbose title npm ci
8 verbose argv "ci"
9 verbose logfile logs-max:10 dir:/home/hashtech/user_profile/.npm-cache/_logs/2026-04-08T07_53_13_452Z-
10 verbose logfile /home/hashtech/user_profile/.npm-cache/_logs/2026-04-08T07_53_13_452Z-debug-0.log
11 silly packumentCache heap:2197815296 maxSize:549453824 maxEntrySize:274726912
12 silly logfile done cleaning log files
13 http fetch GET https://registry.npmjs.org/npm attempt 1 failed with EAI_AGAIN
14 silly idealTree buildDeps
15 silly reify moves {}
16 silly audit bulk request {
16 silly audit   '@supabase/auth-js': [ '2.101.1' ],
16 silly audit   '@supabase/functions-js': [ '2.101.1' ],
16 silly audit   '@supabase/phoenix': [ '0.4.0' ],
16 silly audit   '@supabase/postgrest-js': [ '2.101.1' ],
16 silly audit   '@supabase/realtime-js': [ '2.101.1' ],
16 silly audit   '@supabase/storage-js': [ '2.101.1' ],
16 silly audit   '@supabase/supabase-js': [ '2.101.1' ],
16 silly audit   '@types/node': [ '25.5.0' ],
16 silly audit   '@types/ws': [ '8.18.1' ],
16 silly audit   accepts: [ '1.3.8' ],
16 silly audit   anymatch: [ '3.1.3' ],
16 silly audit   'append-field': [ '1.0.0' ],
16 silly audit   'array-flatten': [ '1.1.1' ],
16 silly audit   'balanced-match': [ '4.0.4' ],
16 silly audit   'binary-extensions': [ '2.3.0' ],
16 silly audit   'body-parser': [ '1.20.4' ],
16 silly audit   'brace-expansion': [ '5.0.5' ],
16 silly audit   braces: [ '3.0.3' ],
16 silly audit   'buffer-from': [ '1.1.2' ],
16 silly audit   busboy: [ '1.6.0' ],
16 silly audit   bytes: [ '3.1.2' ],
16 silly audit   'call-bind-apply-helpers': [ '1.0.2' ],
16 silly audit   'call-bound': [ '1.0.4' ],
16 silly audit   chokidar: [ '3.6.0' ],
16 silly audit   'concat-stream': [ '1.6.2' ],
16 silly audit   'content-disposition': [ '0.5.4' ],
16 silly audit   'content-type': [ '1.0.5' ],
16 silly audit   cookie: [ '0.7.2' ],
16 silly audit   'cookie-signature': [ '1.0.7' ],
16 silly audit   'core-util-is': [ '1.0.3' ],
16 silly audit   cors: [ '2.8.6' ],
16 silly audit   debug: [ '2.6.9', '4.4.3' ],
16 silly audit   depd: [ '2.0.0' ],
16 silly audit   destroy: [ '1.2.0' ],
16 silly audit   'dunder-proto': [ '1.0.1' ],
16 silly audit   'ee-first': [ '1.1.1' ],
16 silly audit   encodeurl: [ '2.0.0' ],
16 silly audit   'es-define-property': [ '1.0.1' ],
16 silly audit   'es-errors': [ '1.3.0' ],
16 silly audit   'es-object-atoms': [ '1.1.1' ],
16 silly audit   'escape-html': [ '1.0.3' ],
16 silly audit   etag: [ '1.8.1' ],
16 silly audit   express: [ '4.22.1' ],
16 silly audit   'fill-range': [ '7.1.1' ],
16 silly audit   finalhandler: [ '1.3.2' ],
16 silly audit   forwarded: [ '0.2.0' ],
16 silly audit   fresh: [ '0.5.2' ],
16 silly audit   fsevents: [ '2.3.3' ],
16 silly audit   'function-bind': [ '1.1.2' ],
16 silly audit   'get-intrinsic': [ '1.3.0' ],
16 silly audit   'get-proto': [ '1.0.1' ],
16 silly audit   'glob-parent': [ '5.1.2' ],
16 silly audit   gopd: [ '1.2.0' ],
16 silly audit   'has-flag': [ '3.0.0' ],
16 silly audit   'has-symbols': [ '1.1.0' ],
16 silly audit   hasown: [ '2.0.2' ],
16 silly audit   'http-errors': [ '2.0.1' ],
16 silly audit   'iceberg-js': [ '0.8.1' ],
16 silly audit   'iconv-lite': [ '0.4.24' ],
16 silly audit   'ignore-by-default': [ '1.0.1' ],
16 silly audit   inherits: [ '2.0.4' ],
16 silly audit   'ipaddr.js': [ '1.9.1' ],
16 silly audit   'is-binary-path': [ '2.1.0' ],
16 silly audit   'is-extglob': [ '2.1.1' ],
16 silly audit   'is-glob': [ '4.0.3' ],
16 silly audit   'is-number': [ '7.0.0' ],
16 silly audit   isarray: [ '1.0.0' ],
16 silly audit   lowdb: [ '6.1.1' ],
16 silly audit   'math-intrinsics': [ '1.1.0' ],
16 silly audit   'media-typer': [ '0.3.0' ],
16 silly audit   'merge-descriptors': [ '1.0.3' ],
16 silly audit   methods: [ '1.1.2' ],
16 silly audit   mime: [ '1.6.0' ],
16 silly audit   'mime-db': [ '1.52.0' ],
16 silly audit   'mime-types': [ '2.1.35' ],
16 silly audit   minimatch: [ '10.2.5' ],
16 silly audit   minimist: [ '1.2.8' ],
16 silly audit   mkdirp: [ '0.5.6' ],
16 silly audit   ms: [ '2.0.0', '2.1.3' ],
16 silly audit   multer: [ '1.4.5-lts.2' ],
16 silly audit   nanoid: [ '5.1.7' ],
16 silly audit   negotiator: [ '0.6.3' ],
16 silly audit   nodemon: [ '3.1.14' ],
16 silly audit   'normalize-path': [ '3.0.0' ],
16 silly audit   'object-assign': [ '4.1.1' ],
16 silly audit   'object-inspect': [ '1.13.4' ],
16 silly audit   'on-finished': [ '2.4.1' ],
16 silly audit   parseurl: [ '1.3.3' ],
16 silly audit   'path-to-regexp': [ '0.1.13' ],
16 silly audit   picomatch: [ '2.3.2' ],
16 silly audit   'process-nextick-args': [ '2.0.1' ],
16 silly audit   'proxy-addr': [ '2.0.7' ],
16 silly audit   'pstree.remy': [ '1.1.8' ],
16 silly audit   qs: [ '6.14.2' ],
16 silly audit   'range-parser': [ '1.2.1' ],
16 silly audit   'raw-body': [ '2.5.3' ],
16 silly audit   'readable-stream': [ '2.3.8' ],
16 silly audit   'safe-buffer': [ '5.1.2', '5.2.1' ],
16 silly audit   readdirp: [ '3.6.0' ],
16 silly audit   'safer-buffer': [ '2.1.2' ],
16 silly audit   semver: [ '7.7.4' ],
16 silly audit   send: [ '0.19.2' ],
16 silly audit   'serve-static': [ '1.16.3' ],
16 silly audit   setprototypeof: [ '1.2.0' ],
16 silly audit   'side-channel': [ '1.1.0' ],
16 silly audit   'side-channel-list': [ '1.0.0' ],
16 silly audit   'side-channel-map': [ '1.0.1' ],
16 silly audit   'side-channel-weakmap': [ '1.0.2' ],
16 silly audit   'simple-update-notifier': [ '2.0.0' ],
16 silly audit   statuses: [ '2.0.2' ],
16 silly audit   steno: [ '3.2.0' ],
16 silly audit   streamsearch: [ '1.1.0' ],
16 silly audit   string_decoder: [ '1.1.1' ],
16 silly audit   'supports-color': [ '5.5.0' ],
16 silly audit   'to-regex-range': [ '5.0.1' ],
16 silly audit   toidentifier: [ '1.0.1' ],
16 silly audit   touch: [ '3.1.1' ],
16 silly audit   tslib: [ '2.8.1' ],
16 silly audit   'type-is': [ '1.6.18' ],
16 silly audit   typedarray: [ '0.0.6' ],
16 silly audit   undefsafe: [ '2.0.5' ],
16 silly audit   'undici-types': [ '7.18.2' ],
16 silly audit   unpipe: [ '1.0.0' ],
16 silly audit   'util-deprecate': [ '1.0.2' ],
16 silly audit   'utils-merge': [ '1.0.1' ],
16 silly audit   vary: [ '1.1.2' ],
16 silly audit   ws: [ '8.20.0' ],
16 silly audit   xtend: [ '4.0.2' ]
16 silly audit }
17 verbose reify failed optional dependency /home/hashtech/user_profile/backend/node_modules/fsevents
18 silly reify mark deleted [ '/home/hashtech/user_profile/backend/node_modules/fsevents' ]
19 silly audit bulk request failed undefined
20 verbose audit error FetchError: request to https://registry.npmjs.org/-/npm/v1/security/audits/quick failed, reason: getaddrinfo EAI_AGAIN registry.npmjs.org
20 verbose audit error     at ClientRequest.<anonymous> (/home/hashtech/user_profile/.local/node-v20.20.2-linux-x64/lib/node_modules/npm/node_modules/minipass-fetch/lib/index.js:130:14)
20 verbose audit error     at ClientRequest.emit (node:events:524:28)
20 verbose audit error     at emitErrorEvent (node:_http_client:101:11)
20 verbose audit error     at _destroy (node:_http_client:884:9)
20 verbose audit error     at onSocketNT (node:_http_client:904:5)
20 verbose audit error     at process.processTicksAndRejections (node:internal/process/task_queues:83:21) {
20 verbose audit error   code: 'EAI_AGAIN',
20 verbose audit error   errno: 'EAI_AGAIN',
20 verbose audit error   syscall: 'getaddrinfo',
20 verbose audit error   hostname: 'registry.npmjs.org',
20 verbose audit error   type: 'system'
20 verbose audit error }
21 silly audit error undefined
22 silly audit report null
